team_abbr,min_season,max_season,team_name
ANA,2008,,Anaheim Mighty Ducks
ARI,2008,2023,Arizona Coyotes
ATL,2008,2010,Atlanta Thrashers
BOS,2008,,Boston Bruins
BUF,2008,,Buffalo Sabres
CAR,2008,,Carolina Hurricanes
CBJ,2008,,Columbus Blue Jackets
CGY,2008,,Calgary Flames
CHI,2008,,Chicago Blackhawks
COL,2008,,Colorado Avalanche
DAL,2008,,Dallas Stars
DET,2008,,Detroit Red Wings
EDM,2008,,Edmonton Oilers
FLA,2008,,Florida Panthers
L.A,2008,2020,Los Angeles Kings
LAK,2021,,Los Angeles Kings
MIN,2008,,Minnesota Wild
MTL,2008,,Montreal Canadiens
N.J,2008,2020,New Jersey Devils
NJD,2021,,New Jersey Devils
NSH,2008,,Nashville Predators
NYI,2008,,New York Islanders
NYR,2008,,New York Rangers
OTT,2008,,Ottawa Senators
PHI,2008,,Philadelphia Flyers
PIT,2008,,Pittsburgh Penguins
S.J,2008,2020,San Jose Sharks
SEA,2021,,Seattle Kraken
SJS,2021,,San Jose Sharks
STL,2008,,St. Louis Blues
T.B,2008,2020,Tampa Bay Lightning
TBL,2021,,Tampa Bay Lightning
TOR,2008,,Toronto Maple Leafs
UTA,2024,,Utah Mammoth
VAN,2008,,Vancouver Canucks
VGK,2017,,Vegas Golden Knights
WPG,2011,,Winnipeg Jets
WSH,2008,,Washington Capitals
